tool	family	mode	fields	sort	lookup_source	lookup_target	version
read_mvs_dump_date_from_filename.bat	relationship	machine	date	source-order	filename		0.1.0
read_mvs_dump_date_from_hash.bat	relationship	machine	date	source-order	hash		0.1.0
read_mvs_dump_date_note.bat	read	machine	date,note	source-order			0.6.0
read_mvs_dump_date_note_filenames_from_filename.bat	relationship	machine	date,note,filename	source-order	filename		0.1.0
read_mvs_dump_date_note_filenames_from_hash.bat	relationship	machine	date,note,filename	source-order	hash		0.1.0
read_mvs_dump_date_note_from_filename.bat	relationship	machine	date,note	source-order	filename		0.1.0
read_mvs_dump_date_note_from_hash.bat	relationship	machine	date,note	source-order	hash		0.1.0
read_mvs_dump_date_note_sorted_by_date.bat	read	machine	date,note	date			0.4.0
read_mvs_dump_date_note_sorted_by_id.bat	read	machine	date,note	id			0.4.0
read_mvs_dump_date_note_sorted_by_title.bat	read	machine	date,note	title			0.4.0
read_mvs_dump_date_sorted_by_date.bat	read	machine	date	date			0.4.0
read_mvs_dump_date_sorted_by_id.bat	read	machine	date	id			0.4.0
read_mvs_dump_date_sorted_by_title.bat	read	machine	date	title			0.4.0
read_mvs_dump_filename_hash_algorithm_source.bat	single-dump	machine	filename,hash,algorithm,source	source-order			0.1.2
read_mvs_dump_filename_hash_algorithm_source_from_filename.bat	single-dump	machine	filename,hash,algorithm,source	source-order	filename		0.1.2
read_mvs_dump_filename_hash_algorithm_source_from_hash.bat	single-dump	machine	filename,hash,algorithm,source	source-order	hash		0.1.2
read_mvs_dump_filename_hash_algorithm_source_from_id.bat	single-dump	machine	filename,hash,algorithm,source	source-order	id		0.1.2
read_mvs_dump_filename_hash_algorithm_source_from_title.bat	single-dump	machine	filename,hash,algorithm,source	source-order	title		0.1.2
read_mvs_dump_filename_hashes_from_filename.bat	single-dump	machine	filename,hash	source-order	filename		0.1.2
read_mvs_dump_filename_hashes_from_hash.bat	single-dump	machine	filename,hash	source-order	hash		0.1.2
read_mvs_dump_filename_hashes_from_id.bat	single-dump	machine	filename,hash	source-order	id		0.1.2
read_mvs_dump_filename_hashes_from_title.bat	single-dump	machine	filename,hash	source-order	title		0.1.2
read_mvs_dump_filename_sha1.bat	single-dump	machine	filename,hash	source-order			0.1.2
read_mvs_dump_filename_sha256.bat	single-dump	machine	filename,hash	source-order			0.1.2
read_mvs_dump_filenames_from_filename.bat	relationship	machine	filename	source-order	filename		0.1.0
read_mvs_dump_filenames_from_hash.bat	relationship	machine	filename	source-order	hash		0.1.0
read_mvs_dump_filenames_from_id.bat	single-dump	machine	filename	source-order	id		0.1.2
read_mvs_dump_filenames_from_title.bat	single-dump	machine	filename	source-order	title		0.1.2
read_mvs_dump_hash_records.bat	single-dump	machine	source,line,id,title,variant_title,filename,hash,algorithm	source-order			0.1.2
read_mvs_dump_hash_records_from_filename.bat	single-dump	machine	source,line,id,title,variant_title,filename,hash,algorithm	source-order	filename		0.1.2
read_mvs_dump_hash_records_from_hash.bat	single-dump	machine	source,line,id,title,variant_title,filename,hash,algorithm	source-order	hash		0.1.2
read_mvs_dump_hashes_from_filename.bat	single-dump	machine	hash	source-order	filename		0.1.2
read_mvs_dump_hashes_from_id.bat	single-dump	machine	hash	source-order	id		0.1.2
read_mvs_dump_hashes_from_title.bat	single-dump	machine	hash	source-order	title		0.1.2
read_mvs_dump_id.bat	read	machine	id	source-order			0.6.0
read_mvs_dump_id_date.bat	read	machine	id,date	source-order			0.6.0
read_mvs_dump_id_date_filenames_from_filename.bat	relationship	machine	id,date,filename	source-order	filename		0.1.0
read_mvs_dump_id_date_filenames_from_hash.bat	relationship	machine	id,date,filename	source-order	hash		0.1.0
read_mvs_dump_id_date_from_filename.bat	relationship	machine	id,date	source-order	filename		0.1.0
read_mvs_dump_id_date_from_hash.bat	relationship	machine	id,date	source-order	hash		0.1.0
read_mvs_dump_id_date_note.bat	read	machine	id,date,note	source-order			0.6.0
read_mvs_dump_id_date_note_sorted_by_date.bat	read	machine	id,date,note	date			0.4.0
read_mvs_dump_id_date_note_sorted_by_id.bat	read	machine	id,date,note	id			0.4.0
read_mvs_dump_id_date_note_sorted_by_title.bat	read	machine	id,date,note	title			0.4.0
read_mvs_dump_id_date_sorted_by_date.bat	read	machine	id,date	date			0.4.0
read_mvs_dump_id_date_sorted_by_id.bat	read	machine	id,date	id			0.4.0
read_mvs_dump_id_date_sorted_by_title.bat	read	machine	id,date	title			0.4.0
read_mvs_dump_id_from_filename.bat	relationship	machine	id	source-order	filename		0.1.0
read_mvs_dump_id_from_hash.bat	relationship	machine	id	source-order	hash		0.1.0
read_mvs_dump_id_note.bat	read	machine	id,note	source-order			0.6.0
read_mvs_dump_id_note_sorted_by_date.bat	read	machine	id,note	date			0.4.0
read_mvs_dump_id_note_sorted_by_id.bat	read	machine	id,note	id			0.4.0
read_mvs_dump_id_note_sorted_by_title.bat	read	machine	id,note	title			0.4.0
read_mvs_dump_id_sorted_by_date.bat	read	machine	id	date			0.4.0
read_mvs_dump_id_sorted_by_id.bat	read	machine	id	id			0.4.0
read_mvs_dump_id_sorted_by_title.bat	read	machine	id	title			0.4.0
read_mvs_dump_id_title.bat	read	machine	id,title	source-order			0.6.0
read_mvs_dump_id_title_date.bat	read	machine	id,title,date	source-order			0.6.0
read_mvs_dump_id_title_date_filenames_from_filename.bat	relationship	machine	id,title,date,filename	source-order	filename		0.1.0
read_mvs_dump_id_title_date_filenames_from_hash.bat	relationship	machine	id,title,date,filename	source-order	hash		0.1.0
read_mvs_dump_id_title_date_from_filename.bat	relationship	machine	id,title,date	source-order	filename		0.1.0
read_mvs_dump_id_title_date_from_hash.bat	relationship	machine	id,title,date	source-order	hash		0.1.0
read_mvs_dump_id_title_date_note.bat	read	machine	id,title,date,note	source-order			0.6.0
read_mvs_dump_id_title_date_note_filenames_from_filename.bat	relationship	machine	id,title,date,note,filename	source-order	filename		0.1.0
read_mvs_dump_id_title_date_note_filenames_from_hash.bat	relationship	machine	id,title,date,note,filename	source-order	hash		0.1.0
read_mvs_dump_id_title_date_note_filenames_hashes_from_filename.bat	single-dump	machine	id,title,date,note,filename,hash	source-order	filename		0.1.2
read_mvs_dump_id_title_date_note_filenames_hashes_from_hash.bat	single-dump	machine	id,title,date,note,filename,hash	source-order	hash		0.1.2
read_mvs_dump_id_title_date_note_filenames_hashes_from_id.bat	single-dump	machine	id,title,date,note,filename,hash	source-order	id		0.1.2
read_mvs_dump_id_title_date_note_filenames_hashes_from_title.bat	single-dump	machine	id,title,date,note,filename,hash	source-order	title		0.1.2
read_mvs_dump_id_title_date_note_from_filename.bat	relationship	machine	id,title,date,note	source-order	filename		0.1.0
read_mvs_dump_id_title_date_note_from_hash.bat	relationship	machine	id,title,date,note	source-order	hash		0.1.0
read_mvs_dump_id_title_date_note_sorted_by_date.bat	read	machine	id,title,date,note	date			0.4.0
read_mvs_dump_id_title_date_note_sorted_by_id.bat	read	machine	id,title,date,note	id			0.4.0
read_mvs_dump_id_title_date_note_sorted_by_title.bat	read	machine	id,title,date,note	title			0.4.0
read_mvs_dump_id_title_date_sorted_by_date.bat	read	machine	id,title,date	date			0.4.0
read_mvs_dump_id_title_date_sorted_by_id.bat	read	machine	id,title,date	id			0.4.0
read_mvs_dump_id_title_date_sorted_by_title.bat	read	machine	id,title,date	title			0.4.0
read_mvs_dump_id_title_filenames_from_filename.bat	relationship	machine	id,title,filename	source-order	filename		0.1.0
read_mvs_dump_id_title_filenames_from_hash.bat	relationship	machine	id,title,filename	source-order	hash		0.1.0
read_mvs_dump_id_title_filenames_from_id.bat	single-dump	machine	id,title,filename	source-order	id		0.1.2
read_mvs_dump_id_title_filenames_from_title.bat	single-dump	machine	id,title,filename	source-order	title		0.1.2
read_mvs_dump_id_title_filenames_hashes_from_filename.bat	single-dump	machine	id,title,filename,hash	source-order	filename		0.1.2
read_mvs_dump_id_title_filenames_hashes_from_hash.bat	single-dump	machine	id,title,filename,hash	source-order	hash		0.1.2
read_mvs_dump_id_title_filenames_hashes_from_id.bat	single-dump	machine	id,title,filename,hash	source-order	id		0.1.2
read_mvs_dump_id_title_filenames_hashes_from_title.bat	single-dump	machine	id,title,filename,hash	source-order	title		0.1.2
read_mvs_dump_id_title_from_filename.bat	relationship	machine	id,title	source-order	filename		0.1.0
read_mvs_dump_id_title_from_hash.bat	relationship	machine	id,title	source-order	hash		0.1.0
read_mvs_dump_id_title_note.bat	read	machine	id,title,note	source-order			0.6.0
read_mvs_dump_id_title_note_filenames_from_filename.bat	relationship	machine	id,title,note,filename	source-order	filename		0.1.0
read_mvs_dump_id_title_note_filenames_from_hash.bat	relationship	machine	id,title,note,filename	source-order	hash		0.1.0
read_mvs_dump_id_title_note_from_filename.bat	relationship	machine	id,title,note	source-order	filename		0.1.0
read_mvs_dump_id_title_note_from_hash.bat	relationship	machine	id,title,note	source-order	hash		0.1.0
read_mvs_dump_id_title_note_sorted_by_date.bat	read	machine	id,title,note	date			0.4.0
read_mvs_dump_id_title_note_sorted_by_id.bat	read	machine	id,title,note	id			0.4.0
read_mvs_dump_id_title_note_sorted_by_title.bat	read	machine	id,title,note	title			0.4.0
read_mvs_dump_id_title_sorted_by_date.bat	read	machine	id,title	date			0.4.0
read_mvs_dump_id_title_sorted_by_id.bat	read	machine	id,title	id			0.4.0
read_mvs_dump_id_title_sorted_by_title.bat	read	machine	id,title	title			0.4.0
read_mvs_dump_id_variant_filenames.bat	single-dump	machine	id,filename	source-order			0.1.2
read_mvs_dump_id_variant_hashes.bat	single-dump	machine	id,hash	source-order			0.1.2
read_mvs_dump_id_variant_title_filename_hashes.bat	single-dump	machine	id,variant_title,filename,hash	source-order			0.1.2
read_mvs_dump_id_variant_title_filename_hashes_from_filename.bat	single-dump	machine	id,variant_title,filename,hash	source-order	filename		0.1.2
read_mvs_dump_id_variant_title_filename_hashes_from_hash.bat	single-dump	machine	id,variant_title,filename,hash	source-order	hash		0.1.2
read_mvs_dump_id_variant_title_filename_hashes_from_id.bat	single-dump	machine	id,variant_title,filename,hash	source-order	id		0.1.2
read_mvs_dump_id_variant_titles.bat	single-dump	machine	id,variant_title	source-order			0.1.2
read_mvs_dump_note.bat	read	machine	note	source-order			0.6.0
read_mvs_dump_note_from_filename.bat	relationship	machine	note	source-order	filename		0.1.0
read_mvs_dump_note_from_hash.bat	relationship	machine	note	source-order	hash		0.1.0
read_mvs_dump_note_records.bat	single-dump	machine	occurrence,title,note	source-order			0.1.2
read_mvs_dump_note_records_from_title.bat	single-dump	machine	occurrence,title,note	source-order	title		0.1.2
read_mvs_dump_note_sorted_by_date.bat	read	machine	note	date			0.4.0
read_mvs_dump_note_sorted_by_id.bat	read	machine	note	id			0.4.0
read_mvs_dump_note_sorted_by_title.bat	read	machine	note	title			0.4.0
read_mvs_dump_product_files.bat	single-dump	machine	id,title,date,note,filename,hash,algorithm	source-order			0.1.2
read_mvs_dump_product_files_from_id.bat	single-dump	machine	id,title,date,note,filename,hash,algorithm	source-order	id		0.1.2
read_mvs_dump_product_files_from_title.bat	single-dump	machine	id,title,date,note,filename,hash,algorithm	source-order	title		0.1.2
read_mvs_dump_product_sections.bat	single-dump	machine	section_occurrence,id,title,line_offset,line,raw	source-order			0.1.2
read_mvs_dump_product_sections_from_id.bat	single-dump	machine	section_occurrence,id,title,line_offset,line,raw	source-order	id		0.1.2
read_mvs_dump_product_sections_from_title.bat	single-dump	machine	section_occurrence,id,title,line_offset,line,raw	source-order	title		0.1.2
read_mvs_dump_sha1.bat	single-dump	machine	hash	source-order			0.1.2
read_mvs_dump_sha1_filename.bat	single-dump	machine	hash,filename	source-order			0.1.2
read_mvs_dump_sha1_from_filename.bat	single-dump	machine	hash	source-order	filename		0.1.2
read_mvs_dump_sha256.bat	single-dump	machine	hash	source-order			0.1.2
read_mvs_dump_sha256_filename.bat	single-dump	machine	hash,filename	source-order			0.1.2
read_mvs_dump_sha256_from_filename.bat	single-dump	machine	hash	source-order	filename		0.1.2
read_mvs_dump_statistics.bat	single-dump	machine		source-order			0.1.2
read_mvs_dump_summary.bat	single-dump	machine		source-order			0.1.2
read_mvs_dump_title.bat	read	machine	title	source-order			0.6.0
read_mvs_dump_title_date.bat	read	machine	title,date	source-order			0.6.0
read_mvs_dump_title_date_filenames_from_filename.bat	relationship	machine	title,date,filename	source-order	filename		0.1.0
read_mvs_dump_title_date_filenames_from_hash.bat	relationship	machine	title,date,filename	source-order	hash		0.1.0
read_mvs_dump_title_date_from_filename.bat	relationship	machine	title,date	source-order	filename		0.1.0
read_mvs_dump_title_date_from_hash.bat	relationship	machine	title,date	source-order	hash		0.1.0
read_mvs_dump_title_date_note.bat	read	machine	title,date,note	source-order			0.6.0
read_mvs_dump_title_date_note_filenames_from_filename.bat	relationship	machine	title,date,note,filename	source-order	filename		0.1.0
read_mvs_dump_title_date_note_filenames_from_hash.bat	relationship	machine	title,date,note,filename	source-order	hash		0.1.0
read_mvs_dump_title_date_note_from_filename.bat	relationship	machine	title,date,note	source-order	filename		0.1.0
read_mvs_dump_title_date_note_from_hash.bat	relationship	machine	title,date,note	source-order	hash		0.1.0
read_mvs_dump_title_date_note_sorted_by_date.bat	read	machine	title,date,note	date			0.4.0
read_mvs_dump_title_date_note_sorted_by_id.bat	read	machine	title,date,note	id			0.4.0
read_mvs_dump_title_date_note_sorted_by_title.bat	read	machine	title,date,note	title			0.4.0
read_mvs_dump_title_date_sorted_by_date.bat	read	machine	title,date	date			0.4.0
read_mvs_dump_title_date_sorted_by_id.bat	read	machine	title,date	id			0.4.0
read_mvs_dump_title_date_sorted_by_title.bat	read	machine	title,date	title			0.4.0
read_mvs_dump_title_filenames_from_filename.bat	relationship	machine	title,filename	source-order	filename		0.1.0
read_mvs_dump_title_filenames_from_hash.bat	relationship	machine	title,filename	source-order	hash		0.1.0
read_mvs_dump_title_filenames_hashes_from_filename.bat	single-dump	machine	title,filename,hash	source-order	filename		0.1.2
read_mvs_dump_title_filenames_hashes_from_hash.bat	single-dump	machine	title,filename,hash	source-order	hash		0.1.2
read_mvs_dump_title_filenames_hashes_from_id.bat	single-dump	machine	title,filename,hash	source-order	id		0.1.2
read_mvs_dump_title_filenames_hashes_from_title.bat	single-dump	machine	title,filename,hash	source-order	title		0.1.2
read_mvs_dump_title_from_filename.bat	relationship	machine	title	source-order	filename		0.1.0
read_mvs_dump_title_from_hash.bat	relationship	machine	title	source-order	hash		0.1.0
read_mvs_dump_title_note.bat	read	machine	title,note	source-order			0.6.0
read_mvs_dump_title_note_filenames_from_filename.bat	relationship	machine	title,note,filename	source-order	filename		0.1.0
read_mvs_dump_title_note_filenames_from_hash.bat	relationship	machine	title,note,filename	source-order	hash		0.1.0
read_mvs_dump_title_note_from_filename.bat	relationship	machine	title,note	source-order	filename		0.1.0
read_mvs_dump_title_note_from_hash.bat	relationship	machine	title,note	source-order	hash		0.1.0
read_mvs_dump_title_note_sorted_by_date.bat	read	machine	title,note	date			0.4.0
read_mvs_dump_title_note_sorted_by_id.bat	read	machine	title,note	id			0.4.0
read_mvs_dump_title_note_sorted_by_title.bat	read	machine	title,note	title			0.4.0
read_mvs_dump_title_sorted_by_date.bat	read	machine	title	date			0.4.0
read_mvs_dump_title_sorted_by_id.bat	read	machine	title	id			0.4.0
read_mvs_dump_title_sorted_by_title.bat	read	machine	title	title			0.4.0
read_mvs_dump_variant_filenames.bat	single-dump	machine	filename	source-order			0.1.2
read_mvs_dump_variant_filenames_from_id.bat	single-dump	machine	filename	source-order	id		0.1.2
read_mvs_dump_variant_hashes.bat	single-dump	machine	hash	source-order			0.1.2
read_mvs_dump_variant_hashes_from_id.bat	single-dump	machine	hash	source-order	id		0.1.2
read_mvs_dump_variant_titles.bat	single-dump	machine	variant_title	source-order			0.1.2
read_mvs_dump_variant_titles_from_id.bat	single-dump	machine	variant_title	source-order	id		0.1.2
read_mvs_dump_variants.bat	single-dump	machine	occurrence,id,variant_title,filename,hash,algorithm	source-order			0.1.2
read_mvs_dump_variants_from_filename.bat	single-dump	machine	occurrence,id,variant_title,filename,hash,algorithm	source-order	filename		0.1.2
read_mvs_dump_variants_from_hash.bat	single-dump	machine	occurrence,id,variant_title,filename,hash,algorithm	source-order	hash		0.1.2
read_mvs_dump_variants_from_id.bat	single-dump	machine	occurrence,id,variant_title,filename,hash,algorithm	source-order	id		0.1.2
read_mvs_unparsed_lines_in_mvs.sha1.bat	single-dump	machine	line,raw	source-order		mvs.sha1	0.1.2
read_mvs_unparsed_lines_in_mvs.sha256.bat	single-dump	machine	line,raw	source-order		mvs.sha256	0.1.2
read_mvs_unparsed_lines_in_mvs.txt.bat	single-dump	machine	line,raw	source-order		mvs.txt	0.1.2
read_mvs_unparsed_lines_in_mvs_dates.txt.bat	single-dump	machine	line,raw	source-order		mvs_dates.txt	0.1.2
read_mvs_unparsed_lines_in_mvs_ids.txt.bat	single-dump	machine	line,raw	source-order		mvs_ids.txt	0.1.2
read_mvs_unparsed_lines_in_mvs_names.txt.bat	single-dump	machine	line,raw	source-order		mvs_names.txt	0.1.2
test\test_all.bat	test	console	all				0.7.0
test\test_compare_tools.bat	test	console	compare				0.7.0
test\test_diagnostic_tools.bat	test	console	diagnostic				0.7.0
test\test_lookup_tools.bat	test	console	lookup				0.7.0
test\test_relationship_tools.bat	test	console	relationship				0.7.0
test\test_scalar_tools.bat	test	console	scalar				0.7.0
test\test_single_dump_tools.bat	test	console	single-dump				0.7.0
test\test_structure.bat	test	console	structure				0.7.0
